This is Ipopt version 3.12.3, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:   237250
Number of nonzeros in inequality constraint Jacobian.:   142584
Number of nonzeros in Lagrangian Hessian.............:   259259

Total number of variables............................:    73384
                     variables with only lower bounds:        0
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    57210
Total number of inequality constraints...............:   142584
        inequality constraints with only lower bounds:    83160
   inequality constraints with lower and upper bounds:    59424
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0 1.7553281e+002 4.31e+001 1.00e+002  -1.0 0.00e+000    -  0.00e+000 0.00e+000   0
   1 1.4814942e+002 4.06e+001 9.93e+001  -1.0 1.48e+001    -  1.14e-001 6.03e-002f  1
   2 1.2313665e+002 3.56e+001 8.19e+002  -1.0 1.25e+001    -  1.85e-002 1.25e-001f  1
   3 1.1367395e+002 3.48e+001 7.64e+002  -1.0 1.06e+001    -  4.73e-002 2.28e-002f  1
   4 1.0818938e+002 3.43e+001 7.38e+002  -1.0 1.09e+001    -  6.17e-003 1.43e-002f  1
   5 1.0299470e+002 2.56e+001 6.92e+002  -1.0 1.30e+001    -  2.92e-002 3.00e-001f  1
   6 1.0403859e+002 2.54e+001 6.42e+002  -1.0 1.21e+002    -  4.07e-003 1.05e-002f  1
   7 1.4734843e+002 2.04e+001 1.03e+003  -1.0 2.25e+001    -  8.29e-002 2.39e-001f  1
   8 1.6756057e+002 1.87e+001 8.97e+002  -1.0 3.49e+001    -  8.20e-002 8.42e-002f  1
   9 2.2208035e+002 1.57e+001 6.40e+002  -1.0 2.59e+001    -  2.71e-002 1.85e-001f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10 2.8474828e+002 1.25e+001 8.73e+002  -1.0 7.74e+000   0.0 1.54e-002 2.30e-001f  1
  11 2.9429427e+002 1.21e+001 8.45e+002  -1.0 3.53e+001  -0.5 5.19e-002 3.08e-002f  1
  12 2.9835806e+002 1.20e+001 8.35e+002  -1.0 6.42e+001    -  8.39e-002 1.19e-002f  1
  13 3.4387762e+002 1.06e+001 7.25e+002  -1.0 6.87e+001    -  6.29e-002 1.21e-001f  1
  14 3.8205487e+002 9.59e+000 6.54e+002  -1.0 1.86e+001    -  3.44e-002 9.54e-002f  1
  15 4.0348027e+002 9.09e+000 6.18e+002  -1.0 2.26e+001    -  5.66e-002 5.24e-002f  1
  16 4.3475856e+002 8.41e+000 5.67e+002  -1.0 2.50e+001  -1.0 6.07e-003 7.62e-002f  1
  17 4.3624619e+002 8.35e+000 5.65e+002  -1.0 1.14e+001   0.4 5.84e-002 6.83e-003f  1
  18 4.4107029e+002 8.04e+000 5.41e+002  -1.0 3.64e+000   0.8 2.18e-001 3.82e-002f  1
  19 4.4197420e+002 8.00e+000 6.27e+002  -1.0 1.05e+002   0.3 6.41e-003 4.41e-003f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20 4.6506573e+002 7.46e+000 2.59e+003  -1.0 6.11e+001  -0.2 3.61e-002 6.75e-002f  1
  21 4.7107557e+002 7.29e+000 2.52e+003  -1.0 6.75e+000   0.3 2.81e-001 2.40e-002f  1
  22 6.1833919e+002 4.81e+000 1.74e+003  -1.0 1.17e+001  -0.2 2.79e-001 3.50e-001f  1
  23 7.0114588e+002 3.47e+000 1.20e+003  -1.0 4.20e+000   0.2 2.45e-001 2.88e-001f  1
  24 7.3956770e+002 2.56e+000 8.89e+002  -1.0 1.28e+000   0.6 3.40e-001 2.64e-001f  1
  25 9.3864804e+002 1.24e+000 7.54e+002  -1.0 2.36e+000   0.2 1.48e-001 6.34e-001f  1
  26 1.1087719e+003 1.02e+000 4.59e+002  -1.0 1.14e+000  -0.3 5.03e-001 3.86e-001f  1
  27 1.4597703e+003 2.46e+000 1.79e+002  -1.0 2.73e+000  -0.8 6.24e-001 5.84e-001f  1
  28 1.7206435e+003 3.33e+000 1.03e+002  -1.0 6.68e+000  -1.3 3.22e-001 4.29e-001f  1
  29 1.7482477e+003 3.15e+000 9.79e+001  -1.0 3.31e+001  -1.7 5.38e-002 5.52e-002f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30 2.0531705e+003 2.71e+000 8.03e+001  -1.0 1.09e+001  -1.3 2.22e-001 6.35e-001f  1
  31 2.0786397e+003 2.37e+000 7.14e+001  -1.0 5.94e+000  -0.9 6.72e-001 1.27e-001f  1
  32 2.2400594e+003 2.18e+000 9.79e+001  -1.0 7.87e+000  -1.4 7.77e-001 7.33e-001f  1
  33 2.3000317e+003 9.71e-002 1.29e+002  -1.0 1.52e+000  -0.9 3.01e-001 1.00e+000f  1
  34 2.3038078e+003 5.73e-002 6.15e+001  -1.0 2.07e+000  -0.5 1.00e+000 4.22e-001f  1
  35 2.3108588e+003 6.21e-002 1.89e+001  -1.0 1.06e+000  -1.0 5.70e-001 8.31e-001f  1
  36 2.3120538e+003 2.72e-002 7.40e+000  -1.0 6.13e-001  -0.6 1.00e+000 6.36e-001f  1
  37 2.3125496e+003 1.06e-001 9.62e+000  -1.0 9.55e-001  -1.0 1.00e+000 1.00e+000f  1
  38 2.3096493e+003 1.78e+001 3.65e+001  -1.0 1.55e+001  -1.5 6.28e-001 6.52e-001f  1
  39 2.3065298e+003 1.83e+000 1.06e+001  -1.0 2.80e+000  -1.1 1.00e+000 1.00e+000f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40 2.3055055e+003 9.99e-001 8.46e+000  -1.0 3.08e+000  -1.6 7.27e-001 4.72e-001f  1
  41 2.3045980e+003 5.71e-002 2.20e+001  -1.0 2.16e+000  -1.1 1.00e+000 1.00e+000f  1
  42 2.3032637e+003 1.60e-001 1.46e+001  -1.0 8.57e+000  -1.6 1.20e-001 4.04e-001f  1
  43 2.3024348e+003 6.55e-002 7.32e+000  -1.0 1.94e+000  -1.2 7.03e-001 5.58e-001f  1
  44 2.2997318e+003 2.09e-001 2.40e+000  -1.0 1.59e+000  -1.7 1.00e+000 8.10e-001f  1
  45 2.2981402e+003 4.07e-002 9.56e-001  -1.0 7.02e-001  -1.2 1.00e+000 1.00e+000f  1
  46 1.6041061e+003 2.53e+000 1.42e+001  -1.7 2.09e+000  -1.7 5.59e-001 1.00e+000f  1
  47 1.0625934e+003 1.47e+000 6.75e+000  -1.7 3.92e-001  -1.3 5.01e-001 1.00e+000f  1
  48 8.0537377e+002 9.32e-001 1.79e+000  -1.7 6.14e-001  -1.8 1.00e+000 1.00e+000f  1
  49 7.3526037e+002 1.26e-001 1.47e-001  -1.7 2.00e-001  -1.3 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50 3.0768195e+002 2.44e+000 4.60e+000  -2.5 6.78e-001  -1.8 6.47e-001 1.00e+000f  1
  51 1.5507198e+002 1.13e+000 1.56e+000  -2.5 1.15e+000  -2.3 8.29e-001 1.00e+000f  1
  52 1.0531324e+002 5.96e+000 2.69e+001  -2.5 3.25e+000  -2.8 1.00e+000 9.61e-001f  1
  53 9.8447494e+001 3.61e-001 5.08e+000  -2.5 6.33e-001  -2.4 1.55e-001 1.00e+000h  1
  54 9.7784481e+001 4.47e-003 3.03e-001  -2.5 1.57e-001  -1.9 1.00e+000 1.00e+000h  1
  55 9.7294760e+001 1.50e-002 4.32e-002  -2.5 3.75e-001  -2.4 1.00e+000 1.00e+000h  1
  56 9.6968097e+001 8.84e-002 1.06e-001  -2.5 1.04e+000  -2.9 1.00e+000 1.00e+000h  1
  57 9.6884538e+001 1.51e-002 2.43e-002  -2.5 2.81e-001  -2.5 1.00e+000 1.00e+000h  1
  58 2.9569399e+001 1.14e+000 8.63e-001  -3.8 7.82e-001  -2.9 4.89e-001 1.00e+000f  1
  59 1.4402026e+001 6.33e-001 5.69e-001  -3.8 9.92e-001  -3.4 5.37e-001 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60 9.8148112e+000 3.88e-001 2.26e-001  -3.8 4.15e+000  -3.9 7.77e-001 1.00e+000h  1
  61 8.2548962e+000 2.13e-001 1.83e-001  -3.8 6.34e-001  -3.5 4.81e-001 9.53e-001h  1
  62 7.7620716e+000 7.87e-002 1.16e-001  -3.8 1.11e+000  -3.9 1.00e+000 1.00e+000h  1
  63 7.6628601e+000 9.30e-003 4.12e-003  -3.8 2.27e-001  -3.5 1.00e+000 1.00e+000h  1
